lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2023-05-03 02:26:25.986054,0.17656177282333374,0.0008059972897171974,-228.7432098388672,899.0,3.0,,,,,,,,,
0.02,2023-05-03 02:26:52.378431,,,,,,,,,,,,,,
,2023-05-03 02:26:52.914798,0.02173706889152527,8.504986180923879e-05,-240.4115753173828,949.0,3.0,,,,,,,,,
0.02,2023-05-03 02:27:19.252564,,,,,,,,,,,,,,
,2023-05-03 02:27:21.445169,0.24526651203632355,0.0010879738256335258,-251.58627319335938,999.0,3.0,,,,,,,,,
,2023-05-03 02:27:23.435997,,,,,3.0,0.0246992539614439,9.536119614494964e-05,-252.0336151123047,0.1904117465019226,0.0012446551118046045,-251.867919921875,,,
,2023-05-03 02:27:23.446040,,,,,3.0,,,,,,,0.10854321718215942,0.0009566483786329627,-223.13795471191406
0.02,2023-05-03 02:29:19.864627,,,,,,,,,,,,,,
,2023-05-03 02:29:20.400167,0.016026554629206657,7.18286755727604e-05,-263.099609375,1049.0,4.0,,,,,,,,,
0.02,2023-05-03 02:29:46.650011,,,,,,,,,,,,,,
,2023-05-03 02:29:47.185699,0.47644615173339844,0.006995117757469416,-273.8104553222656,1099.0,4.0,,,,,,,,,
0.02,2023-05-03 02:30:13.451724,,,,,,,,,,,,,,
,2023-05-03 02:30:13.985912,0.07461380213499069,0.00025437428848817945,-285.27178955078125,1149.0,4.0,,,,,,,,,
0.02,2023-05-03 02:30:40.257506,,,,,,,,,,,,,,
,2023-05-03 02:30:40.785367,0.09438478946685791,0.0003130686527583748,-296.20098876953125,1199.0,4.0,,,,,,,,,
0.02,2023-05-03 02:31:07.062038,,,,,,,,,,,,,,
,2023-05-03 02:31:07.587552,0.02873089909553528,0.00010387163638370112,-307.1062316894531,1249.0,4.0,,,,,,,,,
,2023-05-03 02:31:09.955723,,,,,4.0,0.10097679495811462,0.0009281771490350366,-307.2496643066406,0.2650893032550812,0.003057605354115367,-307.0855407714844,,,
,2023-05-03 02:31:09.962031,,,,,4.0,,,,,,,0.11611288040876389,0.0011380286887288094,-279.6126708984375
0.02,2023-05-03 02:31:37.696174,,,,,,,,,,,,,,
,2023-05-03 02:31:38.231011,0.13434384763240814,0.0004507916746661067,-317.7319030761719,1299.0,5.0,,,,,,,,,
0.02,2023-05-03 02:32:04.416868,,,,,,,,,,,,,,
,2023-05-03 02:32:04.950883,0.022330226376652718,9.028347994899377e-05,-328.4680480957031,1349.0,5.0,,,,,,,,,
0.02,2023-05-03 02:32:31.250591,,,,,,,,,,,,,,
,2023-05-03 02:32:31.785621,0.02568390779197216,0.00010041062341770157,-338.98284912109375,1399.0,5.0,,,,,,,,,
0.02,2023-05-03 02:32:58.043396,,,,,,,,,,,,,,
,2023-05-03 02:32:58.577802,0.24814505875110626,0.0014616363914683461,-349.1735534667969,1449.0,5.0,,,,,,,,,
0.02,2023-05-03 02:33:24.893634,,,,,,,,,,,,,,
,2023-05-03 02:33:27.159099,0.06467274576425552,0.00022179112420417368,-359.6663818359375,1499.0,5.0,,,,,,,,,
,2023-05-03 02:33:29.126678,,,,,5.0,0.16983820497989655,0.001227355096489191,-359.7662658691406,0.022247513756155968,8.658343722345307e-05,-359.91387939453125,,,
,2023-05-03 02:33:29.137441,,,,,5.0,,,,,,,0.11971071362495422,0.0016334624961018562,-333.6841125488281
